Date,Opening price,The maximum,The minimum,Closing price,Volume
20201031,,,,,
20201101,,,,,
20201102,1.022,1.062,0.97,1.052,69032.0
20201103,1.0590000000000002,1.088,1.041,1.077,65404.0
20201104,1.082,1.113,1.061,1.108,65461.0
20201105,1.108,1.119,1.086,1.116,56648.0
20201106,1.114,1.114,1.0759999999999998,1.084,53338.0
20201107,,,,,
20201108,,,,,
20201109,1.091,1.197,1.084,1.161,63953.0
20201110,1.153,1.204,1.14,1.194,85504.0
20201111,1.2009999999999998,1.234,1.173,1.176,61693.0
20201112,1.177,1.185,1.147,1.157,67928.0
20201113,1.15,1.15,1.118,1.125,70160.0
20201114,,,,,
20201115,,,,,
20201116,1.125,1.175,1.123,1.147,64487.0
20201117,1.151,1.16,1.124,1.153,48588.0
20201118,1.157,1.179,1.148,1.163,42175.0
20201119,1.155,1.17,1.142,1.163,37125.0
20201120,1.165,1.1840000000000002,1.159,1.175,34314.0
20201121,,,,,
20201122,,,,,
20201123,1.179,1.21,1.177,1.204,33733.0
20201124,1.202,1.27,1.2009999999999998,1.258,29540.0
20201125,1.258,1.296,1.256,1.288,29729.0
20201126,1.288,1.297,1.26,1.266,34852.0
20201127,1.288,1.297,1.26,1.2819999999999998,34852.0
20201128,,,,,
20201129,,,,,
20201130,1.268,1.2819999999999998,1.245,1.249,11990.0
20201201,1.237,1.254,1.21,1.22,64599.0
20201202,1.215,1.255,1.204,1.24,64211.0
20201203,1.238,1.266,1.224,1.262,66860.0
20201204,1.263,1.288,1.259,1.269,59427.0
20201205,,,,,
20201206,,,,,
20201207,1.265,1.274,1.244,1.256,54119.0
20201208,1.252,1.269,1.238,1.256,58548.0
20201209,1.258,1.286,1.25,1.276,59137.0
20201210,1.283,1.336,1.279,1.317,76871.0
20201211,1.317,1.327,1.298,1.308,71548.0
20201212,,,,,
20201213,,,,,
20201214,1.311,1.329,1.286,1.319,61285.0
20201215,1.3230000000000002,1.335,1.3090000000000002,1.327,62999.0
20201216,1.324,1.36,1.321,1.3530000000000002,50243.0
20201217,1.355,1.392,1.354,1.388,64838.0
20201218,1.389,1.402,1.378,1.396,62114.0
20201219,,,,,
20201220,,,,,
20201221,1.3969999999999998,1.3969999999999998,1.307,1.36,51512.0
20201222,1.358,1.36,1.3219999999999998,1.34,34322.0
20201223,1.34,1.3869999999999998,1.321,1.382,30017.0
20201224,1.38,1.394,1.366,1.379,26998.0
20201225,,,,,
20201226,,,,,
20201227,,,,,
20201228,1.379,1.399,1.3630000000000002,1.368,11626.0
20201229,1.367,1.395,1.367,1.388,13944.0
20201230,1.391,1.4240000000000002,1.389,1.412,17158.0
20201231,1.408,1.4240000000000002,1.3969999999999998,1.408,14824.0
20210101,,,,,
